state,count
Alabama,62
Alaska,0
Arizona,105
Arkansas,9
California,138
Colorado,45
Connecticut,479
Delaware,68
Florida,886
Georgia,270
Hawaii,6
Idaho,0
Illinois,693
Indiana,109
Iowa,34
Kansas,25
Kentucky,42
Louisiana,16
Maine,162
Maryland,306
Massachusetts,1062
Michigan,107
Minnesota,35
Mississippi,13
Missouri,50
Montana,0
Nebraska,23
Nevada,39
New Hampshire,218
New Jersey,868
New Mexico,19
New York,1414
North Carolina,211
North Dakota,0
Ohio,252
Oklahoma,18
Oregon,0
Pennsylvania,633
Rhode Island,160
South Carolina,105
South Dakota,0
Tennessee,125
Texas,199
Utah,1
Vermont,49
Virginia,232
Washington,0
West Virginia,28
Wisconsin,87
Wyoming,1
