state,count
Alabama,85
Alaska,49
Arizona,548
Arkansas,55
California,3005
Colorado,495
Connecticut,123
Delaware,25
Florida,812
Georgia,326
Hawaii,99
Idaho,67
Illinois,647
Indiana,221
Iowa,89
Kansas,94
Kentucky,166
Louisiana,84
Maine,30
Maryland,257
Massachusetts,273
Michigan,283
Minnesota,184
Mississippi,32
Missouri,188
Montana,32
Nebraska,58
Nevada,253
New Hampshire,29
New Jersey,261
New Mexico,76
New York,662
North Carolina,338
North Dakota,13
Ohio,461
Oklahoma,79
Oregon,359
Pennsylvania,357
Rhode Island,27
South Carolina,131
South Dakota,25
Tennessee,180
Texas,1287
Utah,101
Vermont,8
Virginia,466
Washington,738
Wisconsin,145
West Virginia,25
Wyoming,23
